timestamp,edge,lat,long,head,time,bitrate,jitter,lost
1663855136.0,"(3596765030, 1487207562, 0)",40.64351,-8.65933,131.19333361881058,13:58,0.116,43.37,96
1663855136.0,"(3596765030, 1487207562, 0)",40.64351,-8.65933,131.19333361881058,13:58,0.116,43.37,96
1663855136.0,"(3596765030, 1487207562, 0)",40.64351,-8.65933,131.19333361881058,13:58,0.116,43.37,96
1663855136.0,"(3596765030, 1487207562, 0)",40.64351,-8.65933,131.19333361881058,13:58,0.116,43.37,96
1663855136.2,"(3596765030, 1487207562, 0)",40.64350519047076,-8.659322970721858,131.19333361881058,13:58,0.116,51.248,80
1663855136.2,"(3596765030, 1487207562, 0)",40.64350519047076,-8.659322970721858,131.19333361881058,13:58,0.116,51.248,80
1663855136.3,"(1487207562, 3596765030, 0)",40.64350278570598,-8.659319456083164,131.19333361881058,13:58,0.232,63.955,93
1663855136.3,"(1487207562, 3596765030, 0)",40.64350278570598,-8.659319456083164,131.19333361881058,13:58,0.232,63.955,93
1663855136.4,"(1487207562, 3596765030, 0)",40.6435003809411,-8.659315941444724,131.19333361881058,13:58,0.348,89.638,93
1663855136.4,"(1487207562, 3596765030, 0)",40.6435003809411,-8.659315941444724,131.19333361881058,13:58,0.348,89.638,93
1663855136.7,"(1487207562, 3596765030, 0)",40.64349316664578,-8.659305397530929,131.19333361881058,13:58,0.116,98.693,66
1663855136.7,"(1487207562, 3596765030, 0)",40.64349316664578,-8.659305397530929,131.19333361881058,13:58,0.116,98.693,66
1663855136.8,"(1487207562, 3596765030, 0)",40.64349076188047,-8.659301882893503,131.19333361881058,13:58,0.116,102.329,50
1663855136.8,"(1487207562, 3596765030, 0)",40.64349076188047,-8.659301882893503,131.19333361881058,13:58,0.116,102.329,50
1663855136.9,"(1487207562, 3596765030, 0)",40.643488357115054,-8.65929836825633,131.19333361881058,13:58,0.116,103.455,0
1663855136.9,"(1487207562, 3596765030, 0)",40.643488357115054,-8.65929836825633,131.19333361881058,13:58,0.116,103.455,0
1663855137.0,"(1487207562, 3596765030, 0)",40.643488333,-8.659298333,131.9316638071739,13:58,0.232,91.856,0
1663855137.1,"(3596765030, 1487207562, 0)",40.64348574333037,-8.659294448439633,131.9316638071739,13:58,0.232,91.856,88
1663855137.2,"(1487207562, 3596765030, 0)",40.64348315366062,-8.659290563879566,131.9316638071739,13:58,0.232,85.502,0
1663855137.4,"(1487207562, 3596765030, 0)",40.64347797432071,-8.659282794760337,131.9316638071739,13:58,1.27,95.053,84
1663855137.5,"(1487207562, 3596765030, 0)",40.64347538465056,-8.659278910201174,131.9316638071739,13:58,1.16,54.773,0
1663855137.6,"(1487207562, 3596765030, 0)",40.643472794980276,-8.659275025642314,131.9316638071739,13:58,0.927,35.646,27
1663855137.7,"(3596765030, 1487207562, 0)",40.64347020530987,-8.659271141083753,131.9316638071739,13:58,1.97,16.81,29
1663855137.8,"(1487207562, 3596765030, 0)",40.64346761563932,-8.659267256525496,131.9316638071739,13:58,0.579,17.719,28
1663855137.9,"(3596765030, 1487207562, 0)",40.64346502596866,-8.659263371967539,131.9316638071739,13:58,1.62,14.98,26
1663855138.0,"(1487207562, 3596765030, 0)",40.643465,-8.659263333,131.19233895645135,13:58,1.62,9.603,17
1663855138.0,"(1487207562, 3596765030, 0)",40.643465,-8.659263333,131.19233895645135,13:58,1.62,9.603,17
1663855138.0,"(1487207562, 3596765030, 0)",40.643465,-8.659263333,131.19233895645135,13:58,1.62,9.603,17
1663855138.0,"(1487207562, 3596765030, 0)",40.643465,-8.659263333,131.19233895645135,13:58,1.62,9.603,17
1663855138.1,"(1487207562, 3596765030, 0)",40.643462040298296,-8.659259078518415,131.19233895645135,13:58,1.04,13.092,18
1663855138.1,"(1487207562, 3596765030, 0)",40.643462040298296,-8.659259078518415,131.19233895645135,13:58,1.04,13.092,18
1663855138.2,"(1487207562, 3596765030, 0)",40.64345908059643,-8.659254824037209,131.19233895645135,13:58,2.9,7.112,30
1663855138.2,"(1487207562, 3596765030, 0)",40.64345908059643,-8.659254824037209,131.19233895645135,13:58,2.9,7.112,30
1663855138.3,"(3596765030, 1487207562, 0)",40.643456120894406,-8.659250569556379,131.19233895645135,13:58,3.94,4.098,10
1663855138.3,"(3596765030, 1487207562, 0)",40.643456120894406,-8.659250569556379,131.19233895645135,13:58,3.94,4.098,10
1663855138.4,"(3596765030, 1487207562, 0)",40.64345316119221,-8.659246315075926,131.19233895645135,13:58,1.27,5.426,8
1663855138.4,"(3596765030, 1487207562, 0)",40.64345316119221,-8.659246315075926,131.19233895645135,13:58,1.27,5.426,8
1663855138.5,"(1487207562, 3596765030, 0)",40.64345020148988,-8.659242060595849,131.19233895645135,13:58,1.04,5.181,25
1663855138.5,"(1487207562, 3596765030, 0)",40.64345020148988,-8.659242060595849,131.19233895645135,13:58,1.04,5.181,25
1663855138.6,"(1487207562, 3596765030, 0)",40.643447241787385,-8.65923780611615,131.19233895645135,13:58,0.232,10.828,0
1663855138.6,"(1487207562, 3596765030, 0)",40.643447241787385,-8.65923780611615,131.19233895645135,13:58,0.232,10.828,0
1663855138.7,"(3596765030, 1487207562, 0)",40.64344428208473,-8.65923355163683,131.19233895645135,13:58,1.85,11.012,58
1663855138.7,"(3596765030, 1487207562, 0)",40.64344428208473,-8.65923355163683,131.19233895645135,13:58,1.85,11.012,58
1663855138.8,"(1487207562, 3596765030, 0)",40.64344132238193,-8.659229297157887,131.19233895645135,13:58,2.55,10.076,29
1663855138.8,"(1487207562, 3596765030, 0)",40.64344132238193,-8.659229297157887,131.19233895645135,13:58,2.55,10.076,29
1663855138.9,"(1487207562, 3596765030, 0)",40.643438362678964,-8.65922504267932,131.19233895645135,13:58,1.85,6.693,15
1663855138.9,"(1487207562, 3596765030, 0)",40.643438362678964,-8.65922504267932,131.19233895645135,13:58,1.85,6.693,15
1663855139.0,"(3596765030, 1487207562, 0)",40.643438333,-8.659225,132.40488264081785,13:58,0.232,8.068,33
1663855139.1,"(1487207562, 3596765030, 0)",40.64343463345611,-8.659220375486106,132.40488264081785,13:58,0.116,13.486,0
1663855139.2,"(1487207562, 3596765030, 0)",40.64343093391202,-8.659215750972725,132.40488264081785,13:58,0.116,22.027,0
1663855139.3,"(1487207562, 3596765030, 0)",40.643427234367756,-8.659211126459859,132.40488264081785,13:58,0.232,25.282,33
