timestamp,edge,lat,long,head,time,bitrate_cell,jitter_cell,lost_cell
1663855138.9,"(1487207562, 3596765030, 0)",40.643438362678964,-8.65922504267932,131.19233895645135,13:58,18.5,0.622,0
1663855138.9,"(1487207562, 3596765030, 0)",40.643438362678964,-8.65922504267932,131.19233895645135,13:58,18.5,0.622,0
1663855139.0,"(3596765030, 1487207562, 0)",40.643438333,-8.659225,132.40488264081785,13:58,21.2,0.618,0
1663855139.1,"(1487207562, 3596765030, 0)",40.64343463345611,-8.659220375486106,132.40488264081785,13:58,17.3,0.914,0
1663855139.2,"(1487207562, 3596765030, 0)",40.64343093391202,-8.659215750972725,132.40488264081785,13:58,19.3,0.779,0
1663855139.3,"(1487207562, 3596765030, 0)",40.643427234367756,-8.659211126459859,132.40488264081785,13:58,19.9,1.073,0
1663855139.4,"(1487207562, 3596765030, 0)",40.64342353482331,-8.659206501947503,132.40488264081785,13:58,19.1,0.805,0
1663855139.5,"(1487207562, 3596765030, 0)",40.64341983527867,-8.659201877435661,132.40488264081785,13:58,21.7,1.096,0
1663855139.6,"(1487207562, 3596765030, 0)",40.64341613573386,-8.659197252924333,132.40488264081785,13:58,26.0,0.547,0
1663855139.7,"(1487207562, 3596765030, 0)",40.643412436188854,-8.659192628413516,132.40488264081785,13:58,23.1,0.56,0
1663855139.8,"(1487207562, 3596765030, 0)",40.643408736643664,-8.659188003903212,132.40488264081785,13:58,20.9,0.486,0
1663855139.9,"(1487207562, 3596765030, 0)",40.6434050370983,-8.65918337939342,132.40488264081785,13:58,20.5,0.719,0
1663855140.0,"(1487207562, 3596765030, 0)",40.643405,-8.659183333,136.40351214507075,13:59,17.2,0.898,0
1663855140.1,"(1487207562, 3596765030, 0)",40.643401115440064,-8.659178338564901,136.40351214507075,13:59,20.8,0.592,0
1663855140.2,"(1487207562, 3596765030, 0)",40.643397230879884,-8.659173344130382,136.40351214507075,13:59,21.1,0.688,0
1663855140.3,"(1487207562, 3596765030, 0)",40.64339334631951,-8.659168349696445,136.40351214507075,13:59,22.4,0.68,0
1663855140.4,"(1487207562, 3596765030, 0)",40.64338946175892,-8.65916335526309,136.40351214507075,13:59,20.7,0.588,0
1663855140.5,"(1487207562, 3596765030, 0)",40.64338557719812,-8.659158360830316,136.40351214507075,13:59,24.3,0.72,0
1663855140.6,"(1487207562, 3596765030, 0)",40.64338169263709,-8.659153366398124,136.40351214507075,13:59,20.3,0.679,0
1663855140.7,"(1487207562, 3596765030, 0)",40.643377808075854,-8.659148371966513,136.40351214507075,13:59,21.3,0.723,0
1663855140.8,"(1487207562, 3596765030, 0)",40.64337392351441,-8.659143377535484,136.40351214507075,13:59,20.4,0.592,0
1663855140.9,"(1487207562, 3596765030, 0)",40.64337003895274,-8.659138383105034,136.40351214507075,13:59,19.0,0.76,0
1663855141.0,"(1487207562, 3596765030, 0)",40.64337,-8.659138333,135.59749424426843,13:59,20.6,0.466,0
1663855141.1,"(1487207562, 3596765030, 0)",40.64336593042402,-8.659133338564855,135.59749424426843,13:59,20.2,0.583,0
1663855141.2,"(1487207562, 3596765030, 0)",40.64336186084781,-8.659128344130318,135.59749424426843,13:59,19.9,0.496,0
1663855141.3,"(1487207562, 3596765030, 0)",40.6433577912714,-8.65912334969639,135.59749424426843,13:59,20.6,0.589,0
1663855141.4,"(1487207562, 3596765030, 0)",40.64335372169477,-8.659118355263073,135.59749424426843,13:59,18.5,0.66,0
1663855141.5,"(1487207562, 3596765030, 0)",40.64334965211793,-8.659113360830364,135.59749424426843,13:59,19.1,0.781,0
